"RecNo","ExtractedBy","Author","Year","FocalSpC","FocalSpL","MultiplePred","PredSpC","PredSpL","PredGuild","PredTo","Setting","Treatment","Season","Design","TreatmentDuration","duration_days","ResponsePeriod","ControlType","Sex","Age","N","Nobs","NTreat","Ncontrol","SubjectID","ResponseID","Type","Category","SubCategory","ResponseDetails","PredictedDirection","Direction","d","l_95","u_95","v","Calculation","Control_mean","Control_se","Control_sd","Treatment_mean","Treatment_se","Treatment_sd","control_median","control_lowerquartile","control_upperquartile","treament_median","treament_lowerquartile","treatment_upperquartile","Beta_estimate","Beta_se","Beta_sd","l95CI","U95CI","SE","t","T","Z","F","Wald","X2","H","U","p","Details","FocalSpL_corrected"
"228","KJM","Yoon",2016,"Oriental tit","Parus minor","N","Eurasian magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",24,24,12,12,"145","140","Behaviour","ParentalCare","Provisioning","hourly feeding rate",-1,1,0.3729,-0.4342,1.18,0.169564,"figure 2a (control nestbox entrance)",23.8636,2.8788,NA,27.4242,2.8788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_monticolus"
"228","KJM","Yoon",2016,"Oriental tit","Parus minor","N","Eurasian magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",24,24,12,12,"146","140","Behaviour","ParentalCare","Provisioning","hourly feeding rate",-1,1,0.009,-0.7911,0.8092,0.166668,"figure 2a (enlarged nestbox entrace)",19.2424,2.1212,NA,19.3182,2.8788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_monticolus"
"228","KJM","Yoon",2016,"Oriental tit","Parus minor","N","Eurasian magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",24,24,12,12,"145","140","Behaviour","AntiPredator","Vigilance","% of time spent vigilant",1,1,0.2404,-0.5627,1.0434,0.16787,"figure 2b (control nestbox entrance)",0.8318,0.1739,NA,0.983,0.2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_monticolus"
"228","KJM","Yoon",2016,"Oriental tit","Parus minor","N","Eurasian magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"after","NonPred","both","A",24,24,12,12,"146","140","Behaviour","AntiPredator","Vigilance","% of time spent vigilant",1,1,-0.243,-1.0461,0.5601,0.167897,"figure 2b (enlarged nestbox entrace)",2.2911,0.7032,NA,1.7996,0.4991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Parus_monticolus"
"230","JDAT","Van Der Veen",1999,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","among","5 days",5,"after","disturbance","M","A",32,64,16,16,"7","59","Physiology","Condition","Mass","MassChange",-1,1,-1.8159,-2.6394,-0.9924,0.1765,"F-test calculator, direction from fig 3a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,26.38,NA,NA,NA,NA,"0.0002","Comparison between diference of BA of Control and Predator","Emberiza_citrinella"
"230","JDAT","Van Der Veen",1999,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","among","5 days",5,"after","disturbance","M","A",32,64,16,16,"7","60","Behaviour","Intake","Foraging","LatencyToResumeFeeding",-1,-1,1.7139,0.9037,2.5242,0.1709,"F-test calculator, direction from fig 3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,23.5,NA,NA,NA,NA,"0.0003","Comparison between diference of BA of Control and Predator","Emberiza_citrinella"
"230","JDAT","Van Der Veen",1999,"Yellowhammer","Emberiza citrinella","N","Eurasian sparrowhawk","Accipiter nisus","Bird","A","Lab","VM","non-breeding","among","5 days",5,"after","disturbance","M","A",32,64,16,16,"7","60","Physiology","Condition","Mass","RateMassChange",-1,1,-0.9213,-1.6501,-0.1925,0.1383,"F-test calculator, direction from figure 3c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,6.79,NA,NA,NA,NA,"0.0208","Comparison between diference of BA of Control and Predator","Emberiza_citrinella"
"232","KJM","Mouton",2020,"Dark-eyed junco","Junco hyemalis","N","Red squirrel","Tamiasciurus hudsonicus","Mammal","N","Field","A","breeding","among","not explicit. Assume for nesting/incubation/provisioning",35,"during","NonPred","both","A",39,39,24,15,"121","279","Behaviour","ParentalCare","Provisioning","provisioning rate (feeds/hour/nestling)",-1,1,-0.7083,0.0443,1.3723,0.114765,"exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.373,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.038","","Junco_hyemalis"
"232","KJM","Mouton",2020,"Dark-eyed junco","Junco hyemalis","N","Red squirrel","Tamiasciurus hudsonicus","Mammal","N","Field","A","breeding","among","not explicit. Assume for nesting/incubation/provisioning",35,"during","NonPred","both","A",39,39,24,15,"121","280","Physiology","Condition","Growth","growth of nestling (maximimum wing length)",-1,1,-0.8397,-1.5112,0.1682,0.117374,"exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.027,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.015","","Junco_hyemalis"
"232","KJM","Mouton",2020,"Dark-eyed junco","Junco hyemalis","N","Red squirrel","Tamiasciurus hudsonicus","Mammal","N","Field","A","breeding","among","not explicit. Assume for nesting/incubation/provisioning",35,"during","NonPred","both","A",39,39,24,15,"121","280","LifeHistory","Phenology","DevelopmentalTime","age at fledging",1,1,0.4208,-0.231,1.0727,0.110604,"exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.186,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"0.209","","Junco_hyemalis"
"251","KJM","Suzuki",2015,"Japanese great tit","Parus minor","N","mobbing call rat snake","Elaphe climacophora","Reptile","N","Field","A","breeding","within","1 minute",0.001388889,"during","disturbance","F","A",18,36,18,18,"s","30","Behaviour","ParentalCare","Incubation","probability of response during incubation (leaving nextbox)",-1,-1,1.8741,0.9788,2.7694,0.2084,"Figure2 (1 out of 18 leave in control, 13 out of 18 treatment)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,16.8312,NA,NA,"0.000041","","Parus_monticolus"
"251","KJM","Suzuki",2015,"Japanese great tit","Parus minor","N","mobbing call jungle crow","Corvus macrorhynchos","Bird","N","Field","A","breeding","within","1 minute",0.001388889,"during","disturbance","F","A",18,36,18,18,"s","30","Behaviour","ParentalCare","Incubation","probability of response during incubation (leaving nextbox)",-1,-1,0.202,-0.4546,0.8587,0.1122,"Figure2 (1 out of 18 leave in control, 2 out of 18 treatment)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0.3636,NA,NA,"0.546494","","Parus_monticolus"
"253","KJM","York",2017,"Reed warbler","Acrocephalus scirpaceus","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","A","breeding","within","minutes",0.002777778,"after","NonPred","F","A",24,48,24,24,"104","194","Behaviour","AntiPredator","Vigilance","vigilance",1,1,2.0033,0.8708,3.1359,0.3339,"chi-square ES calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,12.02,NA,NA,"<0.001","","Acrocephalus_scirpaceus"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"57","152","Behaviour","AntiPredator","Mobbing","MobIntensity",1,1,-0.1557,-0.8995,0.5881,0.144023,"Result section",2.4,0.13,NA,2.33,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,105,"0.709","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"57","152","Behaviour","AntiPredator","Mobbing","MinDistance (nest owner)",1,-1,-0.2527,-0.9983,0.4929,0.14473,"Fig1",2.0107,0.3593,NA,1.6622,0.3968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"58","153","Behaviour","AntiPredator","Mobbing","MinDistance (neighbour)",1,-1,-0.4968,-1.2508,0.2572,0.147996,"Fig1",4.1609,0.8632,NA,2.6542,0.8203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"58","153","Behaviour","AntiPredator","Mobbing","NMobsAttended (by neighbours) - convert to proportion",1,1,1.7607,-0.1296,3.651,0.930141,"Fig2",0.615384615,NA,NA,0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"58","153","Behaviour","AntiPredator","Mobbing","MobIntensity",1,1,1.0959,0.2997,1.8921,0.165035,"Result section",1.38,0.14,NA,1.85,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,45.5,"0.018","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"58","153","Behaviour","AntiPredator","Mobbing","TimeAttendMob",1,-1,0.079,-0.664,0.822,0.143701,"Result section",51.3,4.7,NA,53,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.4,NA,NA,NA,NA,"0.84","","Ficedula_hypoleuca"
"268","JDAT","Krams",2010,"Pied flycatcher","Ficedula hypoleuca","N","Tawny Owl","Strix aluco","Bird","A","Field","V","breeding","among","10 min",0.013888889,"during","NonPred","both","A",28,56,15,13,"58","153","Behaviour","AntiPredator","Mobbing","AttendMob(Reciprocity) convert to proportino",1,1,1.37,0.1419,2.5981,0.39262,"Result section",0.25,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"273","KJM","Santema",2021,"Blue tit","Cyanistes caeruleus","Y","","","Bird","A","Field","V","breeding","among","3-4 days",3.5,"during","NonPred","both","N",595,595,293,302,"118","281","LifeHistory","Phenology","DevelopmentalTime","age at fledging",1,1,0.0952,-0.0656,0.256,0.0067,"means and sd from text",20.6,NA,1,20.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.72",NA,NA,NA,NA,NA,NA,NA,"0.47","","Parus_caeruleus"
"276","KJM","Forsman",2013,"yellowhammer","Emberiza citrinella","N","American mink","Neovison vison","Mammal","N","Field","O","breeding","among","1 month",30,"during","disturbance","both","A",44,44,22,22,"105","282","Behaviour","AntiPredator","Avoidance","settlement: density of breeding pairs",1,-1,0.5183,-0.0825,1.1191,0.094,"t statistic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.719",NA,NA,NA,NA,NA,NA,NA,"0.116","","Emberiza_citrinella"
"280","JDAT","Miles",2013,"Leach's storm-petrel","Oceanodroma leucorhoa","N","Great Skua","Stercorarius skua","Bird","N","Field","A","breeding","within","7 days",7,"after","Blank","both","A",7,21,7,7,"49","138","Behaviour","CostlyBehaviours","Courtship","NChatter-call - mate attraction",-1,1,0.2904,-0.7627,1.3436,0.288727,"Fig6",24.6941,1.8069,NA,26.0421,1.9789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","N not given, ES calculated with number of nights surveyed as a proxy of N","Oceanodroma_leucorhoa"
"280","JDAT","Miles",2013,"Leach's storm-petrel","Oceanodroma leucorhoa","N","Great Skua","Stercorarius skua","Bird","N","Field","A","breeding","within","7 days",7,"during","NonPred","both","A",7,21,7,7,"49","138","Behaviour","CostlyBehaviours","Courtship","NChatter-call - mate attraction",-1,1,-0.0654,-1.1134,0.9825,0.285867,"Fig6",24.6941,1.8069,NA,26.1855,2.1223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","N not given, ES calculated with number of nights surveyed as a proxy of N","Oceanodroma_leucorhoa"
"280","JDAT","Miles",2013,"Leach's storm-petrel","Oceanodroma leucorhoa","N","Great Black-backed Gull","Larus marinus","Bird","N","Field","A","breeding","within","7 days",7,"after","Blank","both","A",7,21,7,7,"49","138","Behaviour","CostlyBehaviours","Courtship","NChatter-call - mate attraction",-1,1,-0.2445,-1.2961,0.807,0.287849,"Fig6",26.408,2.0977,NA,25.3448,1.3793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","N not given, ES calculated with number of nights surveyed as a proxy of N","Oceanodroma_leucorhoa"
"280","JDAT","Miles",2013,"Leach's storm-petrel","Oceanodroma leucorhoa","N","Great Black-backed Gull","Larus marinus","Bird","N","Field","A","breeding","within","7 days",7,"during","NonPred","both","A",7,21,7,7,"49","138","Behaviour","CostlyBehaviours","Courtship","NChatter-call - mate attraction",-1,1,-0.0872,-1.1354,0.9609,0.285986,"Fig6",26.408,2.0977,NA,27.7586,1.6379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","N not given, ES calculated with number of nights surveyed as a proxy of N","Oceanodroma_leucorhoa"
"280","JDAT","Miles",2013,"Leach's storm-petrel","Oceanodroma leucorhoa","N","Great Skua","Stercorarius skua","Bird","N","Field","V","breeding","among","10 days",10,"after","Blank","both","A",10,80,5,5,"50","139","Behaviour","AntiPredator","Avoidance","PresencePerNight - number of petrels caught",1,-1,-0.0711,-1.3111,1.1688,0.400253,"Results section",7.8,2.99,NA,7.4,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,0.085,NA,NA,"0.77","N not given, ES calculated with number of nights surveyed as a proxy of N","Oceanodroma_leucorhoa"
"286","JDAT","Tilgar",2011,"Pied flycatcher","Ficedula hypoleuca","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","V","breeding","within","1 hour",0.083333333,"after","Blank","both","A",62,31,62,62,"35","111","Physiology","Hormones","Corticosterone","CorticosteronLevel",1,1,1.0082,0.3323,1.6841,0.1189,"Results section, F statistic and exact p-value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,9.26,NA,NA,NA,NA,"0.005","","Ficedula_hypoleuca"
"286","JDAT","Tilgar",2011,"Pied flycatcher","Ficedula hypoleuca","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","V","breeding","within","1 hour",0.083333333,"after","Blank","both","A",62,31,62,62,"35","112","Behaviour","ParentalCare","Provisioning","ProvisioningRate",-1,1,-0.7368,-1.2512,-0.2223,0.068894,"Fig1, raw data",22.6562,1.448,NA,17.3125,1.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Ficedula_hypoleuca"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","NonPred","F","A",11,22,11,11,"60","155","Behaviour","ParentalCare","Incubation","NestVisitationRate during incubation",-1,1,-0.8267,-1.6974,0.044,0.197349,"Fig1",1.4161,0.2104,NA,0.8758,0.2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","Blank","F","A",11,22,11,11,"60","155","Behaviour","ParentalCare","Incubation","NestVisitationRate during incubation",-1,1,-0.9519,-1.8337,-0.0701,0.202411,"Fig1",1.6227,0.2863,NA,0.8758,0.2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","NonPred","M","A",11,22,11,11,"60","155","Behaviour","ParentalCare","Incubation","NestVisitationRate during incubation",-1,1,0.6423,-0.2147,1.4993,0.191194,"Fig1",0.0436,0.0493,NA,0.1668,0.0702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","Blank","M","A",11,22,11,11,"60","155","Behaviour","ParentalCare","Incubation","NestVisitationRate during incubation",-1,1,0.3823,-0.461,1.2257,0.18514,"Fig1",0.0796,0.074,NA,0.1668,0.0702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","NonPred","F","A",9,22,9,9,"60","155","Behaviour","ParentalCare","Incubation","Log of LatencyResume incubation",-1,-1,0.9466,-0.277,1.9209,0.247112,"Fig2",6.8441,0.2265,NA,7.5382,0.2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","Blank","F","A",9,22,9,9,"60","155","Behaviour","ParentalCare","Incubation","Log of LatencyResume incubation",-1,-1,1.2963,0.28,2.3127,0.247112,"Fig2",6.7059,0.1412,NA,7.5382,0.2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","NonPred","F","A",8,22,8,8,"60","155","Behaviour","ParentalCare","Incubation","Number of incubation bouts",-1,1,-1.099,-2.1503,-0.0476,0.287743,"Results Section, means and s.e.",33.6,1.7,NA,25.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","Blank","F","A",8,22,8,8,"60","155","Behaviour","ParentalCare","Incubation","Number of incubation bouts",-1,1,-1.189,-2.252,-0.1259,0.294176,"Results Section, means and s.e.",36.3,3.3,NA,25.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","NonPred","F","A",8,22,8,8,"60","155","Behaviour","ParentalCare","Incubation","NestAttentiveness (percentage of tmie per hour on nest)",-1,1,-1.5655,-2.6856,-0.4454,0.326586,"Results Section, means and s.e.",68.2,2.7,NA,40.4,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"295","JDAT","Ibáñez-Álamo",2012,"Common blackbird","Turdus merula","N","Eurasian Magpie","Pica pica","Bird","N","Field","A","breeding","within","3 hours",0.25,"during","Blank","F","A",8,22,8,8,"60","155","Behaviour","ParentalCare","Incubation","NestAttentiveness (percentage of tmie per hour on nest)",-1,1,-1.132,-2.1875,-0.0764,0.290041,"Results Section, means and s.e.",59.7,0.5,NA,40.4,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Turdus_merula"
"298","KJM","Blackwell",2020,"European starling","Sturnus vulgaris","N","Raccoon","Procyon lotor","Mammal","N","Field","O","breeding","among","not explicit. Assume for nesting/incubation/provisioning",35,"during","disturbance","both","A",54,54,26,28,"106","283","Behaviour","AntiPredator","Avoidance","probability of building a nest",1,-1,-0.1258,-0.6429,0.3912,0.069589,"raw data (26/40 nests Pred, 28/40 nests control)",0.7,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"298","KJM","Blackwell",2020,"European starling","Sturnus vulgaris","N","Raccoon","Procyon lotor","Mammal","N","Field","O","breeding","among","not explicit. Assume for nesting/incubation/provisioning",35,"during","disturbance","F","A",54,54,26,28,"106","284","LifeHistory","reproduction","ClutchSize","clutch size",-1,1,0.15,-0.375,0.6943,0.0744,"means and sd from table 1",4.6,NA,1.3,4.8,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Sturnus_vulgaris"
"300","KJM","Abbey-Lee",2019,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","A","breeding","among","6 months",180,"after","NonPred","F","A",326,326,154,172,"94","176","LifeHistory","Phenology","LayDate","LayingDate",1,1,0,-0.2174,0.2174,0.0123,"ESM Table S3",20.6,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,3.89,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,NA,"0.96","","Parus_major"
"300","KJM","Abbey-Lee",2019,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","A","breeding","among","6 months",180,"after","NonPred","F","A",326,326,154,172,"94","177","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.0111,-0.2285,0.2063,0.0123,"ESM Table S3",8.6,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.3,NA,NA,NA,NA,"",NA,NA,0.01,NA,NA,NA,NA,"0.92","","Parus_major"
"300","KJM","Abbey-Lee",2019,"Great tit","Parus major","N","Eurasian Sparrowhawk","Accipiter nisus","Bird","A","Field","A","breeding","among","6 months",180,"after","NonPred","both","A",326,326,154,172,"94","178","Behaviour","CostlyBehaviours","Activity","Exploration",-1,1,0.0684,-0.1491,0.2859,0.0123,"ESM Table S3",60.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,2.06,NA,NA,NA,NA,"",NA,NA,0.38,NA,NA,NA,NA,"0.54","","Parus_major"
"325","JDAT","Eggers",2006,"Siberian jay","Perisoreus infaustus","Y","","","Bird","N","Field","A","breeding","among","weeks before nest builting",14,"after","NonPred","F","A",34,68,24,10,"87","166","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.7424,-1.5009,0.0161,0.149772,"Result section",4,0.3,NA,3.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Perisoreus_infaustus"
"325","JDAT","Eggers",2006,"Siberian jay","Perisoreus infaustus","Y","","","Bird","N","Field","A","breeding","among","weeks before nest builting",14,"after","Blank","F","A",49,98,24,25,"87","166","LifeHistory","reproduction","ClutchSize","ClutchSize",-1,1,-0.9281,-1.5175,-0.3386,0.090456,"Result section",4.2,0.2,NA,3.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Perisoreus_infaustus"
"325","JDAT","Eggers",2006,"Siberian jay","Perisoreus infaustus","Y","","","Bird","N","Field","A","breeding","among","weeks before nest builting",14,"after","NonPred","F","A",34,68,24,10,"87","167","Behaviour","AntiPredator","Avoidance","NestBuildingDistanceFrom playback",1,-1,0.3436,-0.3986,1.0858,0.143402,"Table2",60,85.98255637,NA,157,60.74537019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Perisoreus_infaustus"
"325","JDAT","Eggers",2006,"Siberian jay","Perisoreus infaustus","Y","","","Bird","N","Field","A","breeding","among","weeks before nest builting",14,"after","Blank","F","A",49,98,24,25,"87","167","Behaviour","AntiPredator","Avoidance","NestBuildingDistanceFrom playback",1,-1,0.4454,-0.1216,1.0124,0.083691,"Table2",6,77.38862966,NA,157,60.74537019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Perisoreus_infaustus"
"325","JDAT","Eggers",2006,"Siberian jay","Perisoreus infaustus","Y","","","Bird","N","Field","A","breeding","among","weeks before nest builting",14,"after","NonPred","F","A",34,68,24,10,"87","167","Behaviour","AntiPredator","Avoidance","ProtectiveNestCover",1,1,0.6396,-0.1136,1.3928,0.147683,"Table3",-0.3,1.42126704,NA,2.5,0.921954446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Perisoreus_infaustus"
