complete,RecNo,ExtractedBy,Author,Year,FocalSpC,FocalSpL,MultiplePred,PredSpC,PredSpL,PredGuild,PredTo,Setting,Treatment,Season,Design,TreatmentDuration,duration_days,ResponsePeriod,ControlType,Sex,Age,N,Nobs,NTreat,Ncontrol,SubjectID,ResponseID,Type,Category,SubCategory,ResponseDetails,PredictedDirection,Direction,d,l_95,u_95,v,Calculation,Control_mean,Control_se,Control_sd,Treatment_mean,Treatment_se,Treatment_sd,control_median,control_lowerquartile,control_upperquartile,treament_median,treament_lowerquartile,treatment_upperquartile,Beta_estimate,Beta_se,Beta_sd,l95CI,U95CI,SE,t,T,Z,F,Wald,X2,H,U,p,Details
y,103/911,JDAT,Ghalambor,2013,Pacific-slope flycatcher,Empidonax difficilis,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,12,12,6,6,68,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.2393,-3.6826,-0.796,0.542264,Dryad data file to calculate means and se,2.2717052,0.19064418,,1.31742121,0.19052308,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Dark-eyed junco,Junco hyemalis,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,within,90 min,0.125,during,Blank,both,A,6,12,6,6,69,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.0487,-3.446,-0.6515,0.50822,Dryad data file to calculate means and se,1.637946,0.14354149,,-0.71541308,0.71217535,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Dark-eyed junco,Junco hyemalis,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,12,12,6,6,69,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.0449,-3.4413,-0.6486,0.50757,Dryad data file to calculate means and se,1.66674533,0.18873311,,-0.71541308,0.71217535,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Euler's flycatcher,Lathrotriccus euleri,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,within,90 min,0.125,during,blank,both,A,6,12,6,6,70,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-1.7842,-3.1221,-0.4463,0.465969,Dryad data file to calculate means and se,2.68447083,0.24040524,,1.86910539,0.16045188,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Euler's flycatcher,Lathrotriccus euleri,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,12,12,6,6,70,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.1876,-3.6181,-0.757,0.532725,Dryad data file to calculate means and se,2.80102672,0.2161728,,1.86910539,0.16045188,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Northern house wren,Troglodytes aedon aedon,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,within,90 min,0.125,during,Blank,both,A,7,14,7,7,71,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-3.3086,-4.9209,-1.6964,0.676683,Dryad data file to calculate means and se,2.8832753,0.06492731,,1.77529099,0.18211273,,,,,,,,,,,,,,,,,,,,,,,
y,103/911,JDAT,Ghalambor,2013,Northern house wren,Troglodytes aedon aedon,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,14,14,7,7,71,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.05,-3.3439,-0.7561,0.435802,Dryad data file to calculate means and se,2.50772168,0.0968807,,1.77529099,0.18211273,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Orange-crowned warbler,Oreothlypis celata,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,within,90 min,0.125,during,blank,both,A,7,14,7,7,72,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-3.0258,-4.56,-1.4917,0.612705,Dryad data file to calculate means and se,1.94036521,0.08106672,,-0.83998391,0.52427743,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Orange-crowned warbler,Oreothlypis celata,N,Steller's Jay,Cyanocitta stelleri,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,14,14,7,7,72,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.8658,-4.3572,-1.3744,0.579021,Dryad data file to calculate means and se,1.89119439,0.16701404,,-0.83998391,0.52427743,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Rufous-bellied thrush,Turdus rufiventris,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,within,90 min,0.125,during,Blank,both,A,5,10,5,5,73,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.4576,-0.40997,-0.8154,0.701989,Dryad data file to calculate means and se,1.80882554,0.12606264,,-0.65662954,0.69807676,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Rufous-bellied thrush,Turdus rufiventris,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,11,11,5,6,73,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.6635,-4.2906,-1.0365,0.689136,Dryad data file to calculate means and se,1.84647058,0.07786195,,-0.65662954,0.69807676,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Saffron-billed sparrow,Arremon flavirostris,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,within,90 min,0.125,during,blank,both,A,6,12,6,6,74,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-3.2365,-4.9561,-1.5169,0.769788,Dryad data file to calculate means and se,1.72965161,0.09403499,,0.54844535,0.21080091,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Saffron-billed sparrow,Arremon flavirostris,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,12,12,6,6,74,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-2.4112,-3.8982,-0.9243,0.575585,Dryad data file to calculate means and se,1.64344434,0.19507604,,0.54844535,0.21080091,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Southern house wren,Troglodytes aedon musculus,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,within,90 min,0.125,during,Blank,both,A,6,12,6,6,75,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-1.172,-2.3969,0.0528,0.3957,Dryad data file to calculate means and se,2.34967628,0.21795111,,0.94113387,0.7281554,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Southern house wren,Troglodytes aedon musculus,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,12,12,6,6,75,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-1.1992,-2.4283,0.0299,0.393251,Dryad data file to calculate means and se,2.37663226,0.20730621,,0.94113387,0.7281554,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Two-banded warbler,Basileuterus bivittatus,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,within,90 min,0.125,during,blank,both,A,4,8,4,4,76,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-3.6354,-5.8923,-1.3784,1.325992,Dryad data file to calculate means and se,1.7119541,0.08271356,,0.51598995,0.2555594,,,,,,,,,,,,,,,,,,,,,,,
Y,103/911,JDAT,Ghalambor,2013,Two-banded warbler,Basileuterus bivittatus,N,Plush-capped Jay,Cyanocorax chrysops,Bird,N,Field,A,breeding,among,90 min,0.125,during,NonPred,both,A,9,9,4,5,76,161,Behaviour,ParentalCare,Provisioning,FeedingVisitsPerHour,-1,1,-3.7406,-5.9119,-1.5692,1.227326,Dryad data file to calculate means and se,1.72337997,0.09404906,,0.51598995,0.2555594,,,,,,,,,,,,,,,,,,,,,,,
y,491,JDAT,Fisher,2006,Northern flicker,Colaptes auratus,N,American Red Squirrel,Tamiasciurus hudsonicus,Mammal,N,Field,V,breeding,among,5 min,0.006944444,during,NonPred,both,A,48,24,24,24,77,162,Behaviour,AntiPredator,Avoidance,NestAbandonment,1,1,0.1855,-0.7062,1.0772,0.206985,"Results section, propportion abandoned",0.125,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,0.99,
y,901,JDAT,Fernández,2013,Southern house wren,Troglodytes aedon musculus,N,Great Horned Owl,Bubo virginianus,Bird,A,Field,V,breeding,within,30 min,0.041666667,during,blank,both,A,42,84,42,42,78,163,Behaviour,ParentalCare,Provisioning,latency to resume provisioning,-1,-1,1.2727,0.8037,1.7417,0.057261,Results section,2.17,0.25,,6.89,0.78,,,,,,,,,,,,,,,,,,,,,,,
y,901,JDAT,Fernández,2013,Southern house wren,Troglodytes aedon musculus,N,Great Horned Owl,Bubo virginianus,Bird,A,Field,V,breeding,among,30 min,0.041666667,during,NonPred,both,A,47,47,34,13,78,163,Behaviour,ParentalCare,Provisioning,latency to resume provisioning,-1,-1,1.1959,0.5125,1.8792,0.121549,Results section,2.79,0.65,,7.36,0.74,,,,,,,,,,,,,,,,,,,,,,,
y,121,JDAT,Emmering,2011,Veery ,Catharus fuscescens,N,Eastern Chipmunk,Tamias striatus,Mammal,N,Field,A,breeding,among,6 weeks,42,after,blank,both,A,70,70,27,43,80,164,Behaviour,AntiPredator,Avoidance,NestBuildingDistanceFrom playback,1,1,0.3675,-0.1176,0.8526,0.061258,Fig1 and result section,41.0844,3.7666,,50.4139,5.2732,,,,,,,,,,,,,,,,,,,,,,,
y,121,JDAT,Emmering,2011,Ovenbird,Seiurus aurocapilla,N,Eastern Chipmunk,Tamias striatus,Mammal,N,Field,A,breeding,among,6 weeks,42,after,blank,both,A,32,32,15,17,79,164,Behaviour,AntiPredator,Avoidance,NestBuildingDistanceFrom playback,1,1,0.936,0.2048,1.6672,0.139178,Fig1 and result section,37.7235,6.1424,,57.7732,4.5778,,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Blue-winged teal,Anas discors,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,81,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.9938,-2.3077,0.3201,0.4494,"means and sd calculated from Table 1, plot without predator removals",5.4,,2.408318916,3.4,,1.516575089,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Mallard,Anas platyrhynchos,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,82,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.5367,-1.7984,0.725,0.4144,"means and sd calculated from Table 1, plot without predator removals",1.2,,1.303840481,0.6,,0.894427191,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Northern shoveler,Anas clypeata,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,83,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.513,-1.7728,0.7468,0.4132,"means and sd calculated from Table 1, plot without predator removals",3.4,,2.073644135,2.4,,1.816590212,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Gadwall,Anas strepera,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,84,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.373,-1.6233,0.8773,0.407,"means and sd calculated from Table 1, plot without predator removals",1,,1.224744871,0.6,,0.894427191,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Northern pintail,Anas acuta,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,85,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.2828,-1.5296,0.9629,0.404,"means and sd calculated from Table 1, plot without predator removals",0.4,,0.894427191,0.2,,0.447213595,,,,,,,,,,,,,,,,,,,,,,
y,482,JDAT,Eichholz,2012,Green-winged teal,Anas crecca,N,Red Fox,Vulpes vulpes,Mammal,N,Field,O,breeding,among,~2weeks before nestbuilding,14,during,disturbance,both,A,10,10,5,5,86,165,Behaviour,AntiPredator,Avoidance,NestBuilding,1,-1,-0.6325,-1.9027,0.6377,0.42,"means and sd calculated from Table 1, plot without predator removals",0.2,,0.447213595,0,,0,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,NonPred,F,A,34,68,24,10,87,166,LifeHistory,reproduction,ClutchSize,ClutchSize,-1,1,-0.7424,-1.5009,0.0161,0.149772,Result section,4,0.3,,3.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,blank,F,A,49,98,24,25,87,166,LifeHistory,reproduction,ClutchSize,ClutchSize,-1,1,-0.9281,-1.5175,-0.3386,0.090456,Result section,4.2,0.2,,3.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,NonPred,F,A,34,68,24,10,87,167,Behaviour,AntiPredator,Avoidance,NestBuildingDistanceFrom playback,1,-1,0.3436,-0.3986,1.0858,0.143402,Table2,60,85.98255637,,157,60.74537019,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,blank,F,A,49,98,24,25,87,167,Behaviour,AntiPredator,Avoidance,NestBuildingDistanceFrom playback,1,-1,0.4454,-0.1216,1.0124,0.083691,Table2,6,77.38862966,,157,60.74537019,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,NonPred,F,A,34,68,24,10,87,167,Behaviour,AntiPredator,Avoidance,ProtectiveNestCover,1,1,0.6396,-0.1136,1.3928,0.147683,Table3,-0.3,1.42126704,,2.5,0.921954446,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,weeks before nest builting,14,after,blank,F,A,49,98,24,25,87,167,Behaviour,AntiPredator,Avoidance,ProtectiveNestCover,1,1,0.4016,-0.1641,0.9674,0.083313,Table3,0.4,1.204159458,,2.5,0.921954446,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,following year,14,after,NonPred,F,A,34,68,24,10,87,168,LifeHistory,reproduction,ClutchSize,ClutchSizeChangeAcross Years,-1,1,-1.2727,-2.07,-0.4754,0.165486,Result section,-0.1,0.3,,-1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
y,325,JDAT,Eggers,2006,Siberian jay,Perisoreus infaustus,Y,,,Bird,N,Field,A,breeding,among,following year,14,after,blank,F,A,49,98,24,25,87,168,LifeHistory,reproduction,ClutchSize,ClutchSizeChangeAcross Years,-1,1,-1.7045,-2.3584,-1.0506,0.111313,Result section,-0.1,0.1,,-1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,
y,383,JDAT,Eggers,2008,Siberian jay,Perisoreus infaustus,N,Eurasian jay,Garrulus glandarius,Bird,N,Field,VM,breeding,within,60 min,0.083333333,during,disturbance,both,A,13,26,13,13,88a,169,Behaviour,ParentalCare,Provisioning,NestVisitationRate (open forest),-1,1,-5.6073,-7.3143,-3.9003,0.758498,"Figure 2, means and se",1.1249,0.0819,,0,0,,,,,,,,,,,,,,,,,,,,,,,
y,383,JDAT,Eggers,2008,Siberian jay,Perisoreus infaustus,N,Eurasian jay,Garrulus glandarius,Bird,N,Field,VM,breeding,within,60 min,0.083333333,during,disturbance,both,A,15,30,15,15,88b,169,Behaviour,ParentalCare,Provisioning,NestVisitationRate (dense forest),-1,1,-0.8785,-1.6279,-0.1291,0.146195,"Figure 2, means and se",1.1876,0.0972,,0.7499,0.1613,,,,,,,,,,,,,,,,,,,,,,,
y,673,JDAT,Dessborn,2012,Mallard,Anas platyrhynchos,N,Northern Pike,Esox lucius,Fish,A,Lab,OV,non-breeding,within,20 min,0.027777778,after,blank,both,J,80,160,80,80,90,172,Behaviour,AntiPredator,Avoidance,Change in area use,1,-1,0.173,-0.1375,0.4835,0.025094,Result section 3.2,5.3,1.17,,8,2.19,,,,,,,,,,,,,,-0.91,,,,,,,,0.38,
y,673,JDAT,Dessborn,2012,Mallard,Anas platyrhynchos,N,American Mink,Neovison vison,Mammal,N,Lab,L,breeding,within,22 min,0.027777778,after,Blank,both,J,64,160,64,64,90,172,Behaviour,AntiPredator,Avoidance,Change in area use,1,-1,-0.3571,-0.7064,-0.0079,0.031748,Result section 3.2,5.88,1.29,,2.75,0.88,,,,,,,,,,,,,,-1.78,,,,,,,,0.1,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Eastern Screech-Owl,Megascops asio,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,NonPred,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,2.7538,1.3861,4.1216,0.486983,"Figure 3, means and se",48.2375,30.0556,,292.7644,36.7347,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,NonPred,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.9908,0.7924,3.1892,0.373854,"Figure 3, means and se",48.2375,30.0556,,244.898,43.4137,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Cooper's Hawk,Accipiter cooperi,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,NonPred,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.6332,0.5016,2.7649,0.333358,"Figure 3, means and se",48.2375,30.0556,,215.2134,45.64,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Great horned Owl,Bubo virginianus,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,NonPred,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.1556,0.097,2.2142,0.291731,"Figure 3, means and se",48.2375,30.0556,,164.3785,44.5269,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Red-tailed Hawk,Buteo jamaicensis,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,NonPred,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.0117,-0.0291,2.0525,0.281986,"Figure 3, means and se",48.2375,30.0556,,141.3729,38.9611,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Eastern Screech-Owl,Megascops asio,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,blank,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,4.26,2.4883,6.0317,0.817108,"Figure 3, means and se",0,0,,292.7644,36.7347,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Sharp-shinned Hawk,Accipiter striatus,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,blank,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,3.0153,1.5828,4.4477,0.534118,"Figure 3, means and se",0,0,,244.898,43.4137,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Cooper's Hawk,Accipiter cooperi,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,blank,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,2.5205,1.2079,3.8332,0.448531,"Figure 3, means and se",0,0,,215.2134,45.64,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Great horned Owl,Bubo virginianus,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,blank,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.9733,0.7784,3.1682,0.371682,"Figure 3, means and se",0,0,,164.3785,44.5269,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Red-tailed Hawk,Buteo jamaicensis,Bird,A,Field,V,non-breeding,among,6 min,0.008333333,during,blank,both,A,16,16,8,8,91,173,Behaviour,AntiPredator,Mobbing,MobDuration,1,1,1.9395,0.7513,3.1278,0.367558,"Figure 3, means and se",0,0,,141.3729,38.9611,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Eastern Screech-Owl,Megascops asio,Bird,A,Field,A,non-breeding,among,1 min,0.001388889,after,NonPred,both,A,16,16,8,8,92,174,Behaviour,Intake,Foraging,LatencyResume,-1,-1,3.0456,1.6055,4.4857,0.539864,"Figure 5, means and se",18.1193,16.4206,,120.3236,7.2194,,,,,,,,,,,,,,,,,,,,,,,
y,548,JDAT,Courter,2010,Tufted titmouse,Baeolophus bicolor,N,Red-tailed Hawk,Buteo jamaicensis,Bird,A,Field,A,non-breeding,among,1 min,0.001388889,after,NonPred,both,A,16,16,8,8,92,174,Behaviour,Intake,Foraging,LatencyResume,-1,-1,1.0412,-0.003,2.0855,0.28388,"Figure 5, means and se",18.1193,16.4206,,58.6047,12.7401,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Great Spotted Woodpecker,Dendrocopos major,Bird,N,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,30,30,15,15,93,175,Physiology,Condition,Mass,body mass (g) day 8,-1,1,-0.8164,-0.5613,-0.1715,0.144442,"Figure 2, day 8",12.7905,0.1476,,12.2619,0.1952,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Great Spotted Woodpecker,Dendrocopos major,Bird,N,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,30,30,15,15,93,175,Physiology,Condition,Mass,body mass (g) day 14,-1,1,0.1052,-0.611,0.8213,0.133518,"Figure 2, day 14",16.3429,0.1666,,16.4143,0.1952,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,29,29,14,15,93,175,Physiology,Condition,Mass,body mass (g) day 8,-1,1,-0.008,-0.7363,0.7204,0.138096,"Figure 2, day 8",12.7905,0.1476,,12.7859,0.1667,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,29,29,14,15,93,175,Physiology,Condition,Mass,body mass (g) day 14,-1,1,0.0509,-0.6776,0.7793,0.13814,"Figure 2, day 14",16.3429,0.1666,,16.3762,0.1905,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Great Spotted Woodpecker,Dendrocopos major,Bird,N,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,30,30,15,15,93,175,Physiology,Condition,Growth,WingLength(mm) day 8,-1,1,-0.7175,-1.4558,0.0209,0.141913,"Figure 4, day 8",22.6597,0.2844,,21.7552,0.3823,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Great Spotted Woodpecker,Dendrocopos major,Bird,N,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,30,30,15,15,93,175,Physiology,Condition,Growth,WingLength(mm) day 14,-1,1,-0.5212,-1.2489,0.2066,0.13786,"figure 4, day 14",48.2625,0.3174,,47.4411,0.5041,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,29,29,14,15,93,175,Physiology,Condition,Growth,WingLength(mm) day 8,-1,1,0.0081,-0.7076,0.7238,0.133334,"Figure 4, day 8",22.6597,0.2844,,22.669,0.3263,,,,,,,,,,,,,,,,,,,,,,,
y,14,JDAT/KJM,Coslovsky,2012,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,AV,breeding,among,7 days,7,after,NonPred,both,N,29,29,14,15,93,175,Physiology,Condition,Growth,WingLength(mm) day 14,-1,1,0.0572,-0.6586,0.773,0.133388,"figure 4, day 14",48.2625,0.3174,,48.3372,0.3781,,,,,,,,,,,,,,,,,,,,,,,
y,300,KJM,Abbey-Lee,2019,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,A,breeding,among,6 months,180,after,NonPred,F,A,326,326,154,172,94,176,LifeHistory,Phenology,LayDate,LayingDate,1,1,0,-0.2174,0.2174,0.0123,ESM Table S3,20.6,2.75,,,,,,,,,,,-0.2,3.89,,,,,,,,0,,,,,0.96,
y,300,KJM,Abbey-Lee,2019,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,A,breeding,among,6 months,180,after,NonPred,F,A,326,326,154,172,94,177,LifeHistory,reproduction,ClutchSize,ClutchSize,-1,1,-0.0111,-0.2285,0.2063,0.0123,ESM Table S3,8.6,0.22,,,,,,,,,,,0.03,0.3,,,,,,,,0.01,,,,,0.92,
y,300,KJM,Abbey-Lee,2019,Great tit,Parus major,N,Eurasian Sparrowhawk,Accipiter nisus,Bird,A,Field,A,breeding,among,6 months,180,after,NonPred,both,A,326,326,154,172,94,178,Behaviour,CostlyBehaviours,Activity,Exploration,-1,1,0.0684,-0.1491,0.2859,0.0123,ESM Table S3,60.5,1.8,,,,,,,,,,,1.27,2.06,,,,,,,,0.38,,,,,0.54,
